17-1-24 19:53:18:   EventThread started
17-1-24 19:53:19:   Deviceinputfile opened: /dev/input/event5
17-1-24 19:53:24:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:24:   Got event (type-code-value): 1-258-1
17-1-24 19:53:24:   Got event (type-code-value): 0-0-0
17-1-24 19:53:24:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:24:   Got event (type-code-value): 1-258-0
17-1-24 19:53:24:   Got event (type-code-value): 0-0-0
17-1-24 19:53:25:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:25:   Got event (type-code-value): 1-258-1
17-1-24 19:53:25:   Got event (type-code-value): 0-0-0
17-1-24 19:53:25:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:25:   Got event (type-code-value): 1-258-0
17-1-24 19:53:25:   Got event (type-code-value): 0-0-0
17-1-24 19:53:25:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:25:   Got event (type-code-value): 1-258-1
17-1-24 19:53:25:   Got event (type-code-value): 0-0-0
17-1-24 19:53:25:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:25:   Got event (type-code-value): 1-258-0
17-1-24 19:53:25:   Got event (type-code-value): 0-0-0
17-1-24 19:53:25:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:25:   Got event (type-code-value): 1-258-1
17-1-24 19:53:25:   Got event (type-code-value): 0-0-0
17-1-24 19:53:25:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:25:   Got event (type-code-value): 1-258-0
17-1-24 19:53:25:   Got event (type-code-value): 0-0-0
17-1-24 19:53:26:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:26:   Got event (type-code-value): 1-258-1
17-1-24 19:53:26:   Got event (type-code-value): 0-0-0
17-1-24 19:53:26:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:26:   Got event (type-code-value): 1-258-0
17-1-24 19:53:26:   Got event (type-code-value): 0-0-0
17-1-24 19:53:50:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:50:   Got event (type-code-value): 1-258-1
17-1-24 19:53:50:   Got event (type-code-value): 0-0-0
17-1-24 19:53:51:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:51:   Got event (type-code-value): 1-258-0
17-1-24 19:53:51:   Got event (type-code-value): 0-0-0
17-1-24 19:53:52:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:52:   Got event (type-code-value): 1-258-1
17-1-24 19:53:52:   Got event (type-code-value): 0-0-0
17-1-24 19:53:52:   Got event (type-code-value): 4-4-589827
17-1-24 19:53:52:   Got event (type-code-value): 1-258-0
17-1-24 19:53:52:   Got event (type-code-value): 0-0-0
